location	aan	agent	als	beiden	besluit	bij	buiten	daar	dan_1	dat	de_6	door	een_count	een_det	er	even	extra	gerinkel	glas	glaszetter_1	goed	gooien	he	heel	hem	het	hij_2	hoek	houden	huizen	in_1	ineens	is	jongetje_2	juist	klein	klinkt	korte	krijgen	later	let	loopt	lopen	lukt	maar_1	met_1	mevrouw	naar	net	niet	nou	nu	of	om	ontdaan	ook	op	pakken	politieagent	repareren	ruit	ruiten	samen	sneuvelen	staan	stapt	steen	stil	straat	straten	te	tijd	toevallig	van	veel	vraagt	vrouw	wil_1	ze_1	ziet_1
Eelde	æ	axɛt	ɑz	ɑləbɑi	ʋɪ	bi	butn	dʊ	dan	dɑ	də		ɑi	n	dər	eibm	ɛkstrə	xərɪŋkəl	xlas	xlasɛtər	xɑut	xʊin	hei		əm	hət	e	hɑuk	hʌll	huzn	ɪn	ɪnɑis	ɪs	jɔŋki	nɛt	klain	klɪŋkt	kœrdə	kriɡŋ	lɔtər	lɛt	lɒp		lʏkt	mʌr	mɛt		nə	nɛt	nait		nɑu	ɒf		ɔndɔn	ouk	ɔp	pakŋ	plitsiɑxɛt	mɒkŋ	rut	rʊmm	sɔmm		stɒn	stap	stɑin	stɪl	strʊt			tit	təfɑləx	fan		frax	frɑu	ʋʏl	zə	sʏt
Ermelo		dindər	ɑs			bi	bytn		dɑn	dɑ	də	dʏr		ən	ər	ɛfə		xərɑməl	xlɑs	xlʊzəzɛtər	xut	xʊiən	hei			t	i	huk				ɪnens	ɪs	jɔŋəcə	nɛt	klɛin	klɪŋkt		krixə	lɒtər	kikt	lœp	rœnn			mɛt	frɑu	nə	nɛt	nit					fəsxrɪkt		ɔp		dindər	makə	ryt	rytn		breikənkəpɒt		kɔmt	kɛi	stɪl	strɔt				tufɑləx			fraxt	frɑu	ʋɪl	zə	zit
Eys	ɑ	pəlis	wɛnt			bei	butə	də	dɑ	dɑt	də	dœʀç	ein	ənə		æfə	ɛkstʀə	çəʀɪŋkəl	çlɑs	çlɑsætəʀ	çut	bʀʏiə	hɛ	hil	əm	hɛd	hɪʀ	ɛk	hɒdə	huzəʀ	ɪn	ɪnɛns	ɪʃ	jʏŋskə	jyst	klɛn			kʀiçə	spidəʀ	lɛt	çet		lœkt	maʀ	mæt	fʀɒu	nə	çʀat	nɪt		nu	ɒf	œm	əntsæt	ouç	ɔp		blɑuə	mʌkə	ʀut	ʀutə	sɑmə	ʃnøfələ		kʏmt	ʃte	ʃtɛl	wɛç		tə	tit	tufɑləç	fən	fœl	fʀʊçt	fʀɒu	wɪlt	zə	sit
Finsterwolde	æ	plitsi	az	bɑidə	bəslʊt		butn	dʊ	dɛn	da	də	dʏr	ɒi	n	ər	eibm		xərɪŋkəl	xl̴as	xlʊznzɛdər	xɑut	xʊin	hei		hɒm	t	hɛi	hɑukə	hʊdn	huzn	ɪn	ɪnɒis	ɪs	jɔŋkjə	nɛt	løcə	klɪŋkt		kriɡŋ	lʊtər	lɛt	lɒp	loupm	lʏkt	mɒr	mɛt	frɑu	nʊ	nɛd	nɑit	nɑu	nɒ	ɒf	ɔm	ɔndɔn	ouk	ɔp	pakŋ	plitsiɑxɛnt	repɑrɪrn	rutə	rutn	sʊmm	snøfəln		ʂtapt	stɑinə	stɪl	strʊtə	strʊtn	tə		təfɑləx	fɑn		frɑxt	frɑu	ʋɪl	zə	sʏxt
Gavere		ɑχænt	ʊst	ɒlətwiə	bəslɪt		bœtn		tʊs	dɑ	də	dʏr	inə	nə	dər	becə		həklætər	xlʊs	çlʊzəmɔkər	χu	smetn		vri	ɛm	t	i	uk	ɑræstɪrn	œzn	ɛn	ɔmɛnəkir	ɑs	jʊncə	ʃyst	klɛn	klɪŋkt	kœrtn	kren	lɔtrə	læt	lœpt	løpm	lœkt	mʌr	mɪt	mɑdɑm	nə	ʃyst	ni			ɒfdɒt	ɔm	ɑnhəslen		in	pʌkŋ	pulisimʌn	rɪpərɪrn	rœtə	rœtn	typə	snøfələn		kɔmt	stin	stil	strʊitə		t	tet	lʏkŋ	fɑn		frʊχt	frɑu	wɛl	zə	zit
Geraardsbergen	ʊn	ʒɑmpætər	ɑst	ʌlətwɪə	wɪl		bœtn	də	tys	dɑ	də	dør	enə	ə		wɑ			χlɑs	χlʊzəmʊkər		smætn				t	ɛ	uk	hɑn	œzn	ɪn	ɑmənəkir	ɛs	mɑnəkən	ʒyst	klæn				nɑrdin		lʏpt	lɤupən		mɒr	mæt	frau		ʃyst	ni	na		ɒfdɑt		fɑnhʏrɤt		ɔp	pɑkən	ʒɑmpætər	repɑrɪrn	rœtə	rœtn	sʊmm			stɑpt	stɪ	stɪl	strɔtə				lʏkən	fɑn		frʊxt	frau	wɪl	zə	sit
Grijpskerk		pəlitsi	as	bɛidn	ʋɪl	bɛi	bytn	dʊ	dan		də	dʏr	ein	n		eibm	ɛkstrə	rɪŋkəln	xlas	xlasɛtər	xud	xʊin			hɪm	t	hɛi		pakŋ	hysn	in	ɪneis	ɪs	jɔŋkjə	krɛk	klɛin	klɪŋk	kɒrtə	kriɡŋ	lɔtər	lɛt	loupt		lʏkt	mɒr	mɛt	frɑu	nə	nɛt	nit		nau	ɒf				ɔp	pɑkŋ	pəlitsiman	mɒkŋ		rytn	sɔmm	snøfəln	stɒn	kɔmt	sti	stɪl	strʊt	strʊtn		tit		fan	føl	frʊxt	frɑu	ʋʏl	zə	sɪxt
Groenlo	ɑn	ʋɑut	ɑs	bɛidə	bəslœts	bi	butn	d	dan		də	dʏʀ	e	nə	ə	nhɒtə	ɛkstʀa	xəʀɪŋkəl	xlas	xlasɛtəʀ	xud	smitn	hɪ		əm	t	he	hok	hɒln	hyzəʀ	ɪn	ɪnɛns	ɪs	jʏŋskə	nɛt	klɛin		kɒʀtn	kʀɪxən	latəʀ	lɛt	lœp	lopən	lʏkt	mɔr	mɛt	fʀɑuə	nə	nɛt	neit	nə	nɒ	ɒf	ɔm	fəʀɑldərɪʀt	ok	ɔp	pakən	ʋɑut	ʀepɑʀɪʀn	ʀutə	ʀutn	samm	xɒtəʀɑn		kʏmp	kɛi	stɪlə	stʀʌtə	stʀʌtn	tə	tit	tufɑləx	fan		fʀʏx	fʀɑuə	ʋʏl	sə	sœt
Grolloo	ɑn	plisi	ɑz	bɛidə	bəslœt	bɛi	butn	dɒ	dan	da	də	dʏr	i	n	ər	ebmpis		xərɪŋkəl	xlas	xlasɛdər	xud	smitn		hil		t	i	huk	hɒln	husn	ɪn	ɔpis	ɪs	jɔŋki	jyst	klɛin		kœrdə		lʌtər	lɛt	lɒp	lopm	lʏk	mɑ	mɛt	frɑu	ɛ	nɛt	nit		nɑu	ɒf	œm	fərɑldərɪt	ɤuk	ɔp		plitsi	mɑkŋ	rut	rutn		snøfəlt		kɔmt	sti	stɪl	strʌt	strʌtn	tə	tit		fan		frax	frɑuspəsɔ	wʏl	sə	zœt
Grouw	ʊn	pliʃə		ɑlətʋa	bəslyt	bei	butn	da		dɑt	də		ɪ	ən	ər	ɛfkəs			ɡlɛs	ɡlɛsɛtər		smitə				ət	hɛi	hukə	hɒdn	hysn	ɪn	ijɪnn	ɪs	jɔŋkjə				kuɑtskɔfkə	kræiə	lɛtər		rɪnt	rɪnn		mɑr	ma	frau	nɑi	krɛkt	nɛt			dɑt	ɔm	tixəskrɒkŋ	ɛk	ɔp	pakə	pliʃə	mɑitʃə	ryt	rytn	təɡɛrə			stapt	stɪn	stɪl	strɪtə		tə		təfɑləx	fan		freixət	frau	zɪl	harn	ʃɔxt
Heerewaarden	ʌ	plisi	æs	bæi	bəslœt	bɛi	bœytə	dɒ	dɑn	dæ	də	dʏʀ		ənə	də	ɛfkəs	ækstʀa	çəʀɪŋkəl	çlɑs	çlɑsɛtəʀ	çud	çʊiə	hei		əm	t	i	huk	hauə			nɪns	ɪs	mænəkə	nɛt	klæn	klɪŋkt			lʌtəʀ	kɛk	loup	loupə	lʏkt	ma	mɪt	fʀɑu	na	næt	ni		nɑu	ɒf	ɔm	oufəsty	ouk	ɔp		plisi	makə	ʀayt		samə	çɒnkəpɒt		stapt	sten	stɪl	stʀʌt	stʀɒtə	tə		tufaləç			fʀʌçt	fʀɑu	wɪl	sə	sit
Hoeven	ɑ	açænt	ɑt	ɑləbæi	bəslœt	bɛi	bœytə	dʌ	dɑn		də	dʏʀ	ɪn	nə	dər	ɛfə		çəʀɪŋkəl	çlas	çlɑsætəʀ	çud	çuiə	hei	hil	əm	t	i	uk	hɑuə	œyzə	ɪn	ənɪs	ɪs	mɑnəkə	jyst	klɛin	klɪŋkt			lʌtəʀ	kɛk	loup	lɤupə	lʏkt	maʀ	mæt	fʀɑu	nə	næt	ni		nɑu	ɒf	ɔm	ɑçədɑn		ɔp	pakə	plisi	mʌkə	ʀœyt	ʀœytə		snøfələ		stɑpt	sten	stɪl	stʀʌt	stʀʌtə	t			fan	fʏl	fʀʌçt	fʀɑu	wʏl	zə	sit
Hollum	ɑn	pliʃə	az		ʋʏl	bɛi	bytn		da		də	dʏr	ɪn	ə	ər	efə					ɡut	smitə		hʏl		ɪt		huk	hɑuə	hyzn	ɪn	ənɪnn	ɪs			klɛin				latər			loupən		mar		frɒu	nə	krɛkt	nit			ɒf		oufəsty		ɪn	pakŋ	pliʃə	makə	ɡlɑs	xlazn	təxarə	snøfələ		kɔmd	stɪn	rʏstəx	lʊn			bəstɛk		fan	fʏl	fraɡt	frɒuspəsɔ	ʋɪl	sə	sit
Horn	an	plis	ɑs	ɑləbæi	bəʃlyt	bi	butə	dʌ	dɑn	dat	də	dʊʀ	ein	ənə		ɛfə	ækstʀə	çəʀɪŋkəl	çlas	çlasætəʀ	çʊt	çʊiə	hei	hil	əm	hɛt	hɛ	hʊk	hɒiə	huzəʀ	ɛn	ɔpɛns	ɪʃ	jʏŋskə	kʀɛk	klen	klɪŋkt	kɒʀtə	kʀiçə	latəʀ	læt	lœpt	lʌupə	lœkt	mæʀ	mæt	fʀɒu	nɑ	næt	nɪt	nɯ	ny	ɒf	ɔm	çəʃʀʊkə		ɛn	pɑkə	pliʃəmɑn	makə	ʀut	ʀutə	samə	ʃnøfələ		ʃtɑpt	ʃten	ʃtɪl	ʃtʀɒt	ʃtʀɒtə	tə	tit	təfɑləç	fɑn	fœl	fʀʏçt	fʀɒu	wɪlt	zə	zyt
Houthulst	ɑn	ɑχɛnt	ɒst	ʊlətweə	bəslyt		bytn	dʊ	tun		də	dʏr	en	ə	dər	əbecə			hlɑs	rytəfəmʌkər	hud	smitn				t	m	uk	un	yzn	ɛn	ɔməkɪr	ɪs		ɟystə	klɪn		hɪ		lʌtər	læt	lɔp	lopm		mʌ	mæt	mɑdam	nɔ	ʒyst	ni		ny	ɒfdɑt	ɔm	dʊtfəsχotn		ɪn	pɑkŋ	pəlisi	fəmʌkŋ	rytə	rytn	təhɒrə	hɒnkʌpɔt		kɔmt	stɪ	stɪl	strɔtə		t	tɪt		fɑn		frʌχt	frɔumɛs	wɛlt	sə	zit
Huizen	ɑn	plisi	ɑs	ɑləbai	ʋʏl	bɛi	bœytn	dɪr	dan	da	də	dʏr	ɪn	ə	dər	ɛfə		xərɪŋkəl	xlas	xlasɛtər	xut	xʊiən		hɪl	əm	t	i	huk	hɑuən	hœyzən	ɪn	ɪnɪnn	ɪs	jʊncə	nɛt	klɑin	klɪŋkt	kɒrtə	krɛia	lɑtər	lɛt	lop	lopm	lʏkt	mɑr	mut		nɪ	nɛt	næit	na	nɑu	ɒf		stɪkbədyst	ok	ɔp	pakə	plisi	mʌkə	rœyt	rœytə	sɑmə	xɪnkəpɔt		kɔmt	stɪ	stɪl	strɪt	strɪtn		tɛit	tufɑləx	fan	fyl	frʌxt	fraumɪns	ʋʏl	sə	zit
IJmuiden		axɪnt				bɛi	baytə			dɑt	də		ei	ə	ɛr	eifə		xərɪŋkəl	xlɒʃ	xlʌʃɪtər		xʊiə	hei			hɛt	ə			hayʃə		ɪneiʃ	ɪʃ	jɔŋəcə						latər	kɛikt		loupə		mar	mɪt	məfrɑu	na	nɛt	nit		ny				ouk	ɔp	pɑkə	plitsi	makə		ramə	sæmm	snøfələ		stɑpt	stei	stɪl	strat				tufɒləx	fɑn			frɑu	ʋʏl	sə	sit
IJsselmuiden	ɑn	plisi	ɑs	bɛidn	bəslœt	bei	bytn	dɑ	dən	dɑ	də	dʏʀ	e	ə	dəʀ	əposi	ɛkstʀa	xəʀɪŋkəl		xlɑsɛtəʀ	xud	xʊin			əm	hɛd	i	huk	hɒln	hyzn	ɪn	ɪnenkɪʀ	ɪs	jɒxi	jyst	klɛin	klɪŋkt	kœʀtə	kʀiɡŋ	latəʀ	læt	lœp	lopm	lʏkt	ma	mɛt	fʀɒuə	nɔ	nɛd	nit	nʊ	nɒu	ɒf	œm	əsxʀœkŋ	ok	ɔp	pɑkŋ	plisi	makŋ	ʀytə	ʀytn	samm			lœp	stɪ	stɪl	stʀɒtə		tə	tit	tufɑləx	fɑn		fʀœx	fʀɒuə	ʋɪl	sə	sit
Itegem	ʊn	çɑrdə	ɑs	ɑləba	bəslœt		bɒətə	dʌ		dɑt	də	dʏr		nə		əbekə				çlɔzəmɔkər	çɯ	smætə				hɛt	hɛ	hɯk	hævə	hɒəsə	ɪn	ɪnɪs	ɪs	feŋkə				kœtn		lɒtər		lœpt	lɤpə		mɒ	mɛt	frau		ʒyst	nɪ			ɒf		fərsçʌtə		ɔp	pɑkə	çɑrdə		rœt	rɑtə			stɒn		stɪn	stɪl	strɒt		tə	tæt	lykə	fɑn		frʊçt	frau	wɪl	zə	zi
Jubbega	ɑn	pəlɪʃəmɑn	ɑz	bɑidə	bəslyt	bai	butn	də	dan	dɑ	də	trʊ	ɪ	ən	ər	ɛfkəs	ɛkstrə	ɡəreŋkəl	ɡlæs	ɡlɛsɛtər	ɡud	ɡʊiə				ət	hɛi	hukə	hɒdn	huzn	ɪn	ɔpɪs	ɪs	jɔŋkjə	krɛk	lits	kleŋkt	kuɑtə	krai	lɛtər	lɛt	rɛnt	rɪnn	lʏkt	mɑr	mai	frau	na	krɛkt	nɛt	nau	nɒu	ɒft	ɔm	ustjur	ɛk	ɔp	pɑkŋ	pəliʃə	mɑitʃə	ɡlas	ɡlazn	təjɛrə	snøfələ	stɪn	stapt	stɛ	stɪl	dik	strɪtə	tə	tit	tufɑləx	fan		freiɡət	frɑməs	ʋɔl	zə	ʒɔxt
Kampen	ɑn	ɑxɛnt	ɑz	ɑləbɛi	bəslœt	bei	bytn	dʊ	dɑn	dɛ	də	dʏʀ	enə	ən	dəʀ	ibm	ɛkstʀa	xəʀɪŋkəl	xlɑs	ʀytnzɛdəʀ	xut	xʊin	he	il	əm	ət	i	huk	ɒln	hyzn	ɪn	ɪnens	ɪs	jɔnxi	jyst	klɛin	klɪŋkt	kɒʀtə	kʀiɡŋ	latəʀ	kɪk	lœp	lopm	lʏkt	ma	mɛt	fʀɒuə	nɔ	nɛt	nit	nə	nɒu	ɒf	ʏm	ɔntdɔn	ok	ɔp	pɑkŋ	plisiæxɛnt	makŋ	ʀytə	ʀytn	samm	snøfələn		stɒpt	kɛiə	stɪlə	stʀɒtə	stʀɒtn	tə	tit	tufɑləx	fɑn	følə	fʀœx	fʀɒuə	ʋɪl	zə	sit
Kerkrade	a	pʊlis	wɛnt	ɑlətswai	næmtsiçfyʀ	bei	us	dʊ	dan	dɑt	də	dœʀç	en	nə		ɛfə	ɛkstʀə	jəʀiŋkəl	jlas	jlaskɪəl	jʊt	wæʀpə		jɑns		əd	hɪʀ	ɛk	hʊdə	huzəʀ	ɪn	ɪnɛns	ɪʃ	jʏŋʃə	jʀat	klɪn	kleŋkt	kʊʀtə		ʃpidəʀ	pɑst	løft	lofə		ævəl	mɪt	fʀʌu	əʀ	jʀat	nɪt		nun	ɒf	œm	jɑnsʊpjəʀɪçt	oç	ɔp		pʊlis		ʀut	ʀutə	təzamə	ʃnøfələ		kʏmt	ʃte	ʃtɛl	ʃtʀɔəʃ	ʃtʀɔəsə	tsə	tsit	soufɛləç	fɑn	fʏl	fʀʊçt	fʀʌu	wɛlt	zə	zit
Koekange	an	plisi	az	ɑləbɛi	bəslœt	bei	bytn	dɑ	dan	da	də	dʏr	inə	n	dər	ɪbm		xərɪŋkəl	xlas	xlasɛdər	xut	xʊin	he	hɪl	əm	t	he	hɯk	hɒln	hyzn	ɪn	nis	ɪs	jɒxi	nɛt	klɛin		kɒrdə	kriɡŋ	lætər		lʌp	lopm	lœkt	mar	mɛt	frɑuə	nɑ	nɛd	nit	nau		ɒf	œm	xəsxrœkŋ		ɔp	pakŋ	plɪtsi	makŋ	rudə	rudə	samm	snøfəld		kʌmt	sti	stɪl	strʌdə		t	tit	tufɑləx	fan	følə	frɑx	frɑuə	wɛl	zə	sɛt
Kudelstaart	an	axɛnt	ɑls	bɛidə	ʋɪl			dar			də	dʊr		ə	ɛr	eifə			xlɑs	xlɑsɛtər	xut	hʊiə				hɛt	hɛi	huk	hɑudə		ɪn	plɔtsəlɪŋ	ɪs	kɪrəlcə		klɑin				latər	lɛt	kɔmt		lœkt	mɑr	bɛi	frau			nit			ɒf				ɔp		pəlitsi	makə	rayt	rœytə		breikə			stein	ʃtɪl	ʋɛx				tufʌləx			fraht	frau	ʋɪl		zit
Laren			ɑs			bi	bytn	dɒ		dɑ	də	dʏr	en	ə	ər	ɛfkəs	ɛkstra			xlasɛtər		xʊin			həm	hɛt				hyzə	ɪn	ɔpɛns	ɪs	jʏŋskə	nɛt				kriɡŋ	dənʌ		lœp	lopm	lʏkt	mʌr	mɛt	frʌuə	nɑ		nɪt			ɒf		hɪləmɔɒfəstʏr	ɤuk	ɔp	pakŋ	plytsi	makŋ	rutə	rutn		xɒtkəpɔət		kʏmp	kɛi	stɪl	strʌtə			zɛt	tufɑləx	fa		frœx	frʌuə	ʋʏl	zə	sʏt
Leersum		açɛnt				bɛi	bœytə	dar	dɑn		də			ə				çərɪŋkəl	çlas			xʊiə				hɛt	hɛi				ɪn		ɪs				klɪŋkt		krɛiçə			loup	lɐupə	lœkt			frɑu	na		nit					ɔndan		ɔp	pakə	ʋɛikæçɛnt			rœytə	samə			stapt	stein	stɛl	ʋɛç				tufaləç			fraçt	frau	ʋɪl	zə	zit
Lemmer	ɑn	pliʃə	ʋɑnɪr	bɛidə	bəslyt	bai	bytn	də	dɑn	dɑ	də	trʊ	ɪ	ən	ər	eifə	ɛkstra	ɡərɪŋkəl	ɡl̴ɛs	ɡlɛsɛtər	ɡuj	ɡʊiə	hei		əm	hət	hɛi	hukə	hɒdn	hyzn	in	ɪnes	ɪs	jɔŋkjə	krɛk	lits	klɪŋkt	kœtə		lɛtər	lɛt	rɔnt	rɔnn	lʏkt	mɑr	mai	frau	nɑi	krɛkt	nɛt		nɑu	ɒf	ɔm	ostjur		ɔp	pakŋ	pliʃə	mɑitʃə	ryt	rytn		snøfələ		stap	stɪ	stɪl	strɪtə	strʏtn	tə	tit	təfɑləx	fan		freiɡət	frau	ʋɔl	zə	ʃʏt
Lokeren	ɒn	ʃɑmpætərə	ɑst	ɑlətwiə	wʊl	bɛi	bøtən	də	dæ	dɑ	də	dʏr	in	nə	dər	əbecə			çlɑs	çlʊzəmʊkərə	çut	smetn				t	m	ɯk	ɒn	høzn	ɪn	ɪnɛnəkir	ɪs		ʒyst	klɛn			kren	nɐdin		lœp	løpən		mʌr	mɪt	mɑdɑm	nɑ	ʒyst	ni	nʌ	nɔ	ɒfdɑt		prəsisfandəryrn		ɔp		ʃɑmpætərə		rœtə	rœtn	təsʊmm	çɒnnədəfoncəs	stʌnə	kɔm	stiən	stɔl	strɔtə				lækən	fɑn		frʊçt	frɔ	wʊl	sə	zit
Lommel	æn	pəlis	ɑs	ɑləbæi	dɛŋktəræn	bɛi	bœytn	dɒr	dɑn	da	də	dʏr	en	nə	dər	æfkəs		çərɪŋkəl	çlɑs	çlɔzəmʌər	çut	smɛitn		hɪl	əm	t	i	huk	hʌuən	hœøzə	in	ɔpeins	ɪs	mænəʔən	ʃyst	klæn	klɪŋkt		krɛeçn	lɒtər	lɛt	lʏpt	lopən	lʏkt	mɑr	mit	frɑməs	nɑ	ʃyst	ni	nə	nəu	ɒf	fɑn	fərbɑuərɪrt	ɤk	ɔp	pɑkŋ	pəlis	repərɪrn	rœt	rœitən	çəlɛik	snøfələn		kʏmp	stein	stɪl	strɔt	strʊtə	tə			fɑn	føl	frøçt	frɑməs	wɪlt	zə	sit
Lunteren	ɑn	pəlisi	as	ɑləbɛi	bəslyt	bei	bytə	dɑ	dan	dɑ	də	dʏr	ɪ	ə	dər	ɛfə		rɪŋkələn	çlɑʃ	xlasmɑkər	çut	xʊiə	hei	hɪl		t	i	hʊk	hɑuə	hyzə	ɪn	plɒtsəlɪŋ	ɪs	jɔŋəcə	jyst	klɛin	klɪŋk	kɒrtə	kriçə	lʌtər	kik	loup	loupə		mar	mɛt		nə	nɛt	nit	nʊ	nu	ɒf	ʌm	heiloufəstyr	ouk	ɔp	pɑkə	pəlisi	mʌkŋ	ryt	rytə	sɑmən	snøfələ		stapt	stɪn	stɪl	strɑt	strʌtə	tə	tit	tufɑləx	fan	fʏl	frɑxt	ʋif	ʋʏl	zə	sit
